ticker,name,run_date,prior_status,new_status,prior_score,new_score
MANINFRA,Man Infraconstruction Ltd,2026-04-06,New,Watchlist,,67.73
GRINFRA,G R Infraprojects Ltd,2026-04-06,New,Watchlist,,60.2
NMDC,NMDC Ltd,2026-04-06,New,Investable,,74.01
MARATHON,Marathon Nextgen Realty Ltd,2026-04-06,New,Watchlist,,64.42
CAMPUS,Campus Activewear Ltd,2026-04-06,New,Watchlist,,65.12
DRREDDY,Dr Reddys Laboratories Ltd,2026-04-06,New,Investable,,77.08
CONTROLPR,Control Print Ltd,2026-04-06,New,Investable,,74.63
VMM,Vishal Mega Mart Ltd,2026-04-06,New,Watchlist,,62.37
FEDERALBNK,Federal Bank Ltd,2026-04-06,New,Watchlist,,55.13
ABB,ABB India Ltd,2026-04-06,New,Watchlist,,59.28
POONAWALLA,Poonawalla Fincorp Ltd,2026-04-06,New,Watchlist,,54.93
CAPLIPOINT,Caplin Point Laboratories Ltd,2026-04-06,New,Investable,,71.1
KKCL,Kewal Kiran Clothing Ltd,2026-04-06,New,Investable,,72.34
ARKADE,Arkade Developers Ltd,2026-04-06,New,Investable,,70.95
TATAELXSI,Tata Elxsi Ltd,2026-04-06,New,Watchlist,,55.31
CONCOR,Container Corporation Of India Ltd,2026-04-06,New,Watchlist,,65.43
FLAIR,Flair Writing Industries Ltd,2026-04-06,New,Watchlist,,63.98
BANCOINDIA,Banco Products (India) Ltd,2026-04-06,New,Investable,,78.08
SRM,SRM Contractors Ltd,2026-04-06,New,Watchlist,,63.81
AMBUJACEM,Ambuja Cements Ltd,2026-04-06,New,Watchlist,,66.58
SOUTHBANK,South Indian Bank Ltd,2026-04-06,New,Watchlist,,58.93
MANAPPURAM,Manappuram Finance Ltd,2026-04-06,New,Watchlist,,58.03
VSTIND,VST Industries Ltd,2026-04-06,New,Watchlist,,65.36
VEDL,Vedanta Ltd,2026-04-06,New,Investable,,73.51
MAMATA,Mamata Machinery Ltd,2026-04-06,New,Investable,,71.84
